County,Education Quintile,Average Years of Education,Total Crime,Hate Crime Index
"Lorain County, Ohio",Third,15.53402701,4617,0.486
"Cabell County, West Virginia",Third,15.57440522,3567,0.498
"St. Joseph County, Indiana",Third,15.63685592,9184,0.488
"Wilson County, Tennessee",Fourth,15.67758522,2695,0.497
"McHenry County, Illinois",Fourth,15.9963453,3510,0.502
"Westchester County, New York",Top Fifth,16.28164795,12070,0.484
"Ingham County, Michigan",Top Fifth,16.36829083,8266,0.487
"Washington County, Vermont",Top Fifth,16.37973385,870,0.504
"Sampson County, North Carolina",Lowest,14.22801035,1707,0.508
"Highland County, Ohio",Lowest,14.72119658,844,0.512
"Canyon County, Idaho",Lowest,14.86717421,5053,0.516
"Sebastian County, Arkansas",Lowest,14.88687972,5896,0.515
"Yuba County, California",Lowest,14.90295912,2431,0.523
"Manassas city, Virginia",Lowest,14.9229127,866,0.505
"Franklin County, Tennessee",Second,15.01470745,806,0.526
"Ashland County, Ohio",Second,15.11060653,845,0.511
"Mille Lacs County, Minnesota",Second,15.24519149,841,0.517
"Allegan County, Michigan",Second,15.33834036,1602,0.527
"Matanuska-Susitna Borough, Alaska",Third,15.64651985,822,0.52
"Jackson County, Missouri",Fourth,15.73137124,42940,0.524
"Kootenai County, Idaho",Fourth,15.82903579,4330,0.505
"Will County, Illinois",Fourth,15.89034739,9998,0.519
"Livingston County, Michigan",Top Fifth,16.22901426,1707,0.508
"Jefferson County, Washington",Top Fifth,16.48437309,843,0.513
"Alexandria city, Virginia",Top Fifth,17.16165897,3267,0.522
"Dickson County, Tennessee",Lowest,14.70922882,1559,0.535
"Sevier County, Tennessee",Lowest,14.93849593,3077,0.54
"Gibson County, Tennessee",Lowest,14.94920852,1568,0.533
"Madison County, Ohio",Second,15.02099131,799,0.529
"Madison County, Nebraska",Second,15.29879656,757,0.545
"Reno County, Kansas",Second,15.33861226,2263,0.546
"Sumner County, Tennessee",Third,15.52672781,3112,0.537
"Kennebec County, Maine",Third,15.64363876,3092,0.538
"Sonoma County, California",Fourth,15.69276447,10404,0.551
"Cumberland County, Pennsylvania",Fourth,15.89713915,3813,0.544
"Yolo County, California",Fourth,15.94164662,6264,0.534
"Hartford County, Connecticut",Fourth,15.94950979,22951,0.542
"Middlesex County, New Jersey",Fourth,15.98930032,13385,0.549
"Payne County, Oklahoma",Top Fifth,16.25228369,2361,0.531
"San Mateo County, California",Top Fifth,16.27310262,15747,0.548
"Tolland County, Connecticut",Top Fifth,16.37996433,767,0.541
"Johnson County, Iowa",Top Fifth,17.10659551,3186,0.53
"Clare County, Michigan",Lowest,14.76229471,695,0.58
"Darke County, Ohio",Lowest,14.92261536,691,0.584
"Branch County, Michigan",Lowest,14.95341605,715,0.567
"Hutchinson County, Texas",Second,15.05629326,707,0.573
"Roane County, Tennessee",Second,15.05979929,1421,0.569
"LaPorte County, Indiana",Second,15.16694569,2783,0.578
"Waynesboro city, Virginia",Second,15.30145956,693,0.582
"Washington County, Ohio",Second,15.30786626,694,0.581
"Miami County, Ohio",Third,15.39502296,2915,0.555
"Saline County, Kansas",Third,15.44285364,2171,0.559
"Windham County, Connecticut",Third,15.45841866,703,0.575
"Amador County, California",Third,15.47679677,710,0.57
"Franklin County, Kansas",Third,15.50409812,698,0.577
"Phelps County, Missouri",Third,15.50651548,1443,0.562
"Sullivan County, New Hampshire",Third,15.6678117,716,0.566
"Coles County, Illinois",Fourth,15.70774043,729,0.553
"San Diego County, California",Fourth,15.78969451,69635,0.564
"Berkshire County, Massachusetts",Fourth,15.91885318,2954,0.552
"Snohomish County, Washington",Fourth,15.93704798,27604,0.558
"New London County, Connecticut",Fourth,15.9517688,3611,0.56
"Washington County, Utah",Fourth,15.99069083,2764,0.584
"Geauga County, Ohio",Fourth,16.01953278,709,0.571
"Franklin County, Massachusetts",Top Fifth,16.26671628,1408,0.574
"Monmouth County, New Jersey",Top Fifth,16.36037188,11530,0.563
"Dakota County, Minnesota",Top Fifth,16.44394285,8722,0.556
"Garvin County, Oklahoma",Lowest,14.75289072,683,0.587
"Henderson County, Kentucky",Second,15.13805293,1344,0.592
"Wayne County, Michigan",Second,15.27383078,75031,0.603
"McClain County, Oklahoma",Second,15.298621,683,0.587
"Carbon County, Utah",Third,15.40549985,660,0.595
"Boyd County, Kentucky",Third,15.41474721,1341,0.593
"Tuolumne County, California",Third,15.54870497,1308,0.602
"Pitt County, North Carolina",Fourth,15.80302432,6125,0.591
"Litchfield County, Connecticut",Fourth,16.01637951,1977,0.598
"Ellis County, Kansas",Fourth,16.01701302,660,0.595
"Placer County, California",Top Fifth,16.35344391,7239,0.599
"Centre County, Pennsylvania",Top Fifth,16.50169011,1970,0.6
"Dane County, Wisconsin",Top Fifth,16.89318146,12282,0.589
"Finney County, Kansas",Lowest,14.09055465,1234,0.614
"San Jacinto County, Texas",Lowest,14.42656827,613,0.616
"Abbeville County, South Carolina",Lowest,14.6201909,642,0.606
"Los Angeles County, California",Lowest,14.81766976,260218,0.613
"Lincoln County, Oklahoma",Lowest,14.9568686,635,0.609
"Defiance County, Ohio",Second,15.14377342,645,0.604
"Mercer County, Ohio",Second,15.17281947,625,0.611
"Genesee County, Michigan",Third,15.4623152,13938,0.61
"Boone County, Missouri",Top Fifth,16.75412093,5743,0.607
"Shelby County, Texas",Lowest,14.26560117,584,0.632
"Le Flore County, Oklahoma",Lowest,14.72698261,1209,0.617
"Caddo County, Oklahoma",Lowest,14.90217224,596,0.624
"Robertson County, Tennessee",Second,15.08773544,1777,0.627
"Hillsdale County, Michigan",Second,15.09845622,577,0.64
"Nelson County, Kentucky",Second,15.16796325,596,0.624
"Logan County, Colorado",Second,15.21887564,604,0.618
"Polk County, Wisconsin",Third,15.46558587,573,0.645
"Maricopa County, Arizona",Third,15.63249688,140538,0.633
"Lincoln County, Oregon",Third,15.63843538,1737,0.636
"Hill County, Montana",Third,15.65349898,572,0.647
"Portage County, Ohio",Fourth,15.6949069,2987,0.622
"Stearns County, Minnesota",Fourth,15.72123285,4010,0.646
"Minnehaha County, South Dakota",Fourth,15.80057128,5220,0.635
"Santa Cruz County, California",Fourth,15.8578686,9260,0.638
"Radford city, Virginia",Fourth,15.95227911,587,0.631
"Hamilton County, Ohio",Fourth,16.02387216,34434,0.643
"Clay County, Minnesota",Top Fifth,16.11556661,1150,0.642
"Arapahoe County, Colorado",Top Fifth,16.30120249,17317,0.639
"Stafford County, Virginia",Top Fifth,16.3455741,2364,0.628
"Bergen County, New Jersey",Top Fifth,16.36018444,10603,0.629
"Wake County, North Carolina",Top Fifth,16.67785742,22151,0.62
"Boulder County, Colorado",Top Fifth,17.32452058,6583,0.621
"Burke County, North Carolina",Lowest,14.67829844,2278,0.653
"Austin County, Texas",Lowest,14.73994406,541,0.669
"Muskingum County, Ohio",Second,15.00910546,2792,0.66
"Marshall County, West Virginia",Second,15.05518423,571,0.649
"Grays Harbor County, Washington",Second,15.21560211,2206,0.665
"Washington County, Virginia",Second,15.24693965,1101,0.667
"Marion County, West Virginia",Second,15.32340622,560,0.657
"Monroe County, Michigan",Third,15.36877291,2855,0.649
"Montgomery County, Kansas",Third,15.3857534,1112,0.662
"Garfield County, Colorado",Third,15.46510768,1092,0.668
"Madison County, Kentucky",Third,15.52858891,2274,0.654
"Union County, Oregon",Third,15.62628745,559,0.658
"Strafford County, New Hampshire",Top Fifth,16.13440099,3321,0.664
"Hennepin County, Minnesota",Top Fifth,16.54860279,42770,0.651
"Oakland County, Michigan",Top Fifth,16.60628958,18944,0.661
"Hampshire County, Massachusetts",Top Fifth,16.77137254,2826,0.656
"Umatilla County, Oregon",Lowest,14.82757576,2054,0.683
"Sanilac County, Michigan",Lowest,14.93585627,519,0.68
"Bradley County, Tennessee",Second,15.07270495,4318,0.671
"Marion County, Illinois",Second,15.17681181,1074,0.674
"Saginaw County, Michigan",Second,15.33137961,5138,0.682
"DeSoto County, Mississippi",Third,15.55823319,3205,0.675
"Parker County, Texas",Third,15.5884731,2103,0.678
"Rutland County, Vermont",Fourth,15.7636855,1041,0.679
"Bannock County, Idaho",Fourth,15.92461206,2132,0.676
"Butler County, Kansas",Fourth,15.95500719,1617,0.672
"Whiteside County, Illinois",Second,15.15853965,986,0.694
"Daviess County, Kentucky",Second,15.34595865,2986,0.693
"Calhoun County, Michigan",Third,15.39869662,4563,0.685
"Shasta County, California",Third,15.60866371,6980,0.69
"Jackson County, North Carolina",Fourth,15.72601855,1010,0.686
"Woodford County, Kentucky",Fourth,15.79437401,500,0.689
"Campbell County, Kentucky",Fourth,15.81626048,2525,0.686
"Lancaster County, Nebraska",Top Fifth,16.30350286,10458,0.691
"Halifax County, North Carolina",Lowest,14.3745783,2350,0.704
"San Benito County, California",Lowest,14.42808434,932,0.708
"Yadkin County, North Carolina",Lowest,14.507351,952,0.701
"Mason County, Kentucky",Lowest,14.82252995,467,0.707
"Chenango County, New York",Second,15.19269754,941,0.703
"St. Clair County, Michigan",Second,15.29747056,2897,0.697
"McCracken County, Kentucky",Third,15.49917438,1922,0.698
"Calloway County, Kentucky",Third,15.58603352,970,0.696
"Jefferson County, West Virginia",Fourth,15.68591138,931,0.709
"Barnstable County, Massachusetts",Top Fifth,16.53273183,5243,0.7
"Brookings County, South Dakota",Top Fifth,16.54595399,468,0.705
"Madison Parish, Louisiana",Lowest,14.26740588,460,0.715
"Harrison County, Kentucky",Lowest,14.55126904,448,0.722
"Williams County, Ohio",Second,15.0049284,457,0.716
"Clinton County, Missouri",Third,15.40059748,456,0.718
"Weber County, Utah",Third,15.49685675,7177,0.72
"Mahaska County, Iowa",Third,15.52158608,465,0.711
"Gloucester County, New Jersey",Fourth,15.75596485,6668,0.725
"Belknap County, New Hampshire",Fourth,15.92784553,1800,0.719
"Addison County, Vermont",Top Fifth,16.11779389,445,0.723
"Middlesex County, Connecticut",Top Fifth,16.38090095,1845,0.714
"Latah County, Idaho",Top Fifth,16.88197767,926,0.712
"Campbell County, Wyoming",Third,15.52879444,1283,0.732
"Harvey County, Kansas",Fourth,15.78588215,859,0.729
"Watauga County, North Carolina",Top Fifth,16.16467951,870,0.727
"Emmet County, Michigan",Top Fifth,16.18947635,429,0.73
"Larimer County, Colorado",Top Fifth,16.7911949,7555,0.726
"Clinton County, Ohio",Second,15.10243938,839,0.74
"Morrison County, Minnesota",Second,15.18726575,411,0.743
"Anderson County, Tennessee",Second,15.29952997,1275,0.733
"Otsego County, Michigan",Third,15.41814538,415,0.741
"Scott County, Kentucky",Fourth,15.71848625,1272,0.734
"Athens County, Ohio",Fourth,15.9574892,1271,0.736
"Fairfield County, Connecticut",Top Fifth,16.31470069,17221,0.738
"King County, Washington",Top Fifth,16.65556781,100616,0.737
"Montcalm County, Michigan",Lowest,14.96555787,1194,0.751
"Franklin County, Vermont",Third,15.41443882,797,0.75
"Delta County, Michigan",Third,15.53241457,802,0.747
"Boone County, Iowa",Fourth,15.73443961,406,0.744
"York County, Maine",Fourth,15.87817224,4045,0.745
"Merrimack County, New Hampshire",Top Fifth,16.23032826,2394,0.748
"Pitkin County, Colorado",Top Fifth,17.10975972,396,0.752
"Overton County, Tennessee",Lowest,14.27785357,379,0.762
"Bourbon County, Kentucky",Lowest,14.91764536,381,0.759
"Clark County, Kentucky",Second,15.04183179,1160,0.755
"Schoharie County, New York",Second,15.30995188,389,0.754
"Cheshire County, New Hampshire",Fourth,15.93944472,1537,0.756
"Monroe County, Indiana",Top Fifth,16.6948554,4176,0.761
"Norfolk County, Massachusetts",Top Fifth,16.81578707,9606,0.758
"Huron County, Michigan",Lowest,14.98060812,376,0.763
"Logan County, Ohio",Second,15.01531418,1116,0.766
"Elmore County, Idaho",Second,15.01729161,371,0.767
"Franklin County, Virginia",Second,15.14938632,736,0.769
"Kanawha County, West Virginia",Third,15.44864797,8385,0.77
"Neosho County, Kansas",Third,15.50217572,374,0.765
"Pike County, Ohio",Lowest,14.41256632,362,0.772
"Hockley County, Texas",Lowest,14.43111298,711,0.78
"Payette County, Idaho",Second,15.04821067,358,0.777
"Lewis County, Washington",Second,15.15336451,2135,0.779
"Marquette County, Michigan",Fourth,15.94670102,1075,0.776
"Windsor County, Vermont",Top Fifth,16.13540519,723,0.773
"Teller County, Colorado",Top Fifth,16.27788527,360,0.774
"Ford County, Kansas",Lowest,13.95315813,1036,0.785
"Dubois County, Indiana",Second,15.11287725,349,0.783
"Fayette County, Tennessee",Second,15.17423758,681,0.788
"Hardin County, Kentucky",Third,15.57052698,2071,0.787
"Cumberland County, Maine",Top Fifth,16.5538674,6562,0.784
"Williamsburg city, Virginia",Top Fifth,17.27111233,350,0.781
"Osceola County, Michigan",Lowest,14.90344569,335,0.794
"Gratiot County, Michigan",Second,15.04044586,657,0.795
"Wagoner County, Oklahoma",Third,15.40314578,1689,0.791
"District of Columbia, District of Columbia",Top Fifth,16.91527159,42346,0.79
"Loudoun County, Virginia",Top Fifth,16.98685636,3701,0.792
"Bingham County, Idaho",Lowest,14.88672972,655,0.796
"Essex County, Massachusetts",Fourth,15.90665509,15935,0.799
"Nassau County, New York",Top Fifth,16.25044583,17604,0.798
"Upshur County, West Virginia",Lowest,14.81540313,310,0.813
"Newaygo County, Michigan",Lowest,14.84726129,931,0.812
"Seminole County, Oklahoma",Lowest,14.85415288,633,0.802
"Jefferson County, Oregon",Second,15.04429245,621,0.81
"Duchesne County, Utah",Second,15.09679392,628,0.806
"Christian County, Kentucky",Second,15.12801661,1873,0.809
"Effingham County, Illinois",Third,15.47522833,631,0.803
"Harrisonburg city, Virginia",Third,15.63815346,1260,0.805
"Powhatan County, Virginia",Fourth,15.74424076,314,0.806
"Fayette County, Kentucky",Top Fifth,16.32896479,14270,0.801
"Stone County, Mississippi",Lowest,14.90011751,306,0.814
"Shenandoah County, Virginia",Lowest,14.96689794,602,0.821
"Brooke County, West Virginia",Second,15.2413179,302,0.82
"Blount County, Tennessee",Third,15.38038561,2422,0.817
"Pratt County, Kansas",Third,15.62341972,305,0.816
"Lewis and Clark County, Montana",Top Fifth,16.34705793,1816,0.819
"Graves County, Kentucky",Lowest,14.80683747,589,0.832
"Franklin County, North Carolina",Second,15.11244496,1191,0.823
"Van Buren County, Michigan",Second,15.16649968,1471,0.834
"Warren County, Illinois",Second,15.20093458,296,0.83
"Shelby County, Ohio",Second,15.20603077,1172,0.837
"Mecosta County, Michigan",Third,15.38754626,877,0.838
"Franklin County, Kentucky",Third,15.47510152,1487,0.825
"Tooele County, Utah",Third,15.52937178,1772,0.831
"Lucas County, Ohio",Third,15.62215691,11863,0.828
"Meade County, South Dakota",Fourth,15.7360284,297,0.827
"St. Croix County, Wisconsin",Top Fifth,16.25310787,1176,0.835
"Whitman County, Washington",Top Fifth,17.21125654,893,0.824
"Marion County, Tennessee",Lowest,14.38133663,578,0.839
"Cowlitz County, Washington",Second,15.25009172,3982,0.843
"Delta County, Colorado",Second,15.25748173,577,0.842
"Walla Walla County, Washington",Fourth,15.67823481,2267,0.846
"Whatcom County, Washington",Fourth,15.99495966,7219,0.841
"Chittenden County, Vermont",Top Fifth,16.76464059,3404,0.845
"Accomack County, Virginia",Lowest,14.67140461,563,0.848
"Warren County, Kentucky",Third,15.56529439,3861,0.852
"Clallam County, Washington",Fourth,15.82807945,2222,0.85
"Island County, Washington",Top Fifth,16.24786652,1124,0.849
"Freestone County, Texas",Lowest,14.72368902,268,0.856
"Wyandot County, Ohio",Lowest,14.95089199,273,0.853
"Franklin County, Ohio",Top Fifth,16.07656109,49599,0.854
"Fayette County, West Virginia",Lowest,14.66973863,1039,0.86
"Grand County, Utah",Fourth,15.90865743,263,0.857
"Greene County, Ohio",Top Fifth,16.34284981,3912,0.859
"Apache County, Arizona",Lowest,14.09505921,510,0.863
"Mendocino County, California",Second,15.3286085,2058,0.861
"Zavala County, Texas",Lowest,12.91664259,251,0.867
"Jessamine County, Kentucky",Third,15.59647953,1515,0.866
"Blue Earth County, Minnesota",Top Fifth,16.12632106,1770,0.864
"Dukes County, Massachusetts",Top Fifth,16.41120541,245,0.868
"Jefferson County, Ohio",Second,15.14440494,240,0.87
"Falls Church city, Virginia",Top Fifth,18.38947256,239,0.871
"Louisa County, Virginia",Second,15.03728443,700,0.872
"Crawford County, Illinois",Third,15.39105825,233,0.874
"Houghton County, Michigan",Fourth,15.91712552,462,0.877
"Lane County, Oregon",Fourth,15.93293947,11322,0.875
"St. John the Baptist Parish, Louisiana",Lowest,14.78616001,1379,0.878
"Simpson County, Kentucky",Lowest,14.79283719,459,0.879
"Brown County, Kansas",Third,15.50456929,225,0.881
"DeKalb County, Tennessee",Lowest,14.43248518,447,0.883
"Craig County, Oklahoma",Lowest,14.97340218,222,0.885
"Barry County, Michigan",Third,15.41561346,674,0.882
"Franklin County, Maine",Third,15.6752963,443,0.886
"Hopkins County, Kentucky",Lowest,14.89164,854,0.89
"Hood River County, Oregon",Lowest,14.93192488,430,0.888
"Shelby County, Kentucky",Second,15.21540083,847,0.892
"Kingfisher County, Oklahoma",Second,15.2214243,215,0.888
"Thomas County, Kansas",Top Fifth,16.0451843,211,0.893
"Alleghany County, Virginia",Lowest,14.92192833,207,0.895
"Kenton County, Kentucky",Fourth,15.71958744,4139,0.896
"Benzie County, Michigan",Fourth,15.73641325,205,0.897
"Sevier County, Arkansas",Lowest,13.67399887,402,0.9
"St. Charles Parish, Louisiana",Second,15.21558232,1202,0.901
"Middlesex County, Massachusetts",Top Fifth,16.85341141,24956,0.899
"Rusk County, Wisconsin",Lowest,14.9687652,195,0.903
"Woodward County, Oklahoma",Second,15.17426215,583,0.904
"Summit County, Colorado",Top Fifth,16.8009948,777,0.906
"Harlan County, Kentucky",Lowest,14.07699047,182,0.907
"Suffolk County, Massachusetts",Fourth,15.76492831,27101,0.908
"Garrard County, Kentucky",Lowest,14.5782392,177,0.912
"Crook County, Oregon",Second,15.16058946,536,0.91
"Mackinac County, Michigan",Third,15.35787467,356,0.911
"Powell County, Kentucky",Lowest,14.250659,174,0.917
"Grayson County, Virginia",Lowest,14.35610694,174,0.917
"Barren County, Kentucky",Lowest,14.61888088,701,0.915
"Juneau City and Borough, Alaska",Top Fifth,16.53499641,1061,0.914
"Mason County, Michigan",Third,15.51394829,693,0.919
"Bullitt County, Kentucky",Second,14.99419853,1186,0.922
"Hancock County, West Virginia",Second,15.10313901,337,0.924
"Grand Traverse County, Michigan",Top Fifth,16.15280975,1190,0.921
"Anderson County, Kentucky",Second,15.21462926,166,0.925
"Warren County, Virginia",Second,15.14721137,811,0.926
"Lamoille County, Vermont",Top Fifth,16.14755612,160,0.928
"Delaware County, Oklahoma",Second,15.0506726,466,0.93
"Doniphan County, Kansas",Second,15.2998062,156,0.929
"Richland County, Montana",Third,15.46713305,153,0.932
"Marshall County, Kentucky",Second,15.01554427,456,0.933
"Menominee County, Michigan",Second,15.19726201,448,0.936
"Lapeer County, Michigan",Second,15.29739094,1051,0.935
"Todd County, Kentucky",Lowest,14.21145756,148,0.937
"Saline County, Nebraska",Lowest,14.5312144,290,0.939
"Klickitat County, Washington",Third,15.46086437,290,0.939
"Benewah County, Idaho",Second,15.01865496,141,0.943
"Oceana County, Michigan",Second,15.04568927,566,0.941
"Mason County, West Virginia",Lowest,14.72283837,417,0.944
"Pendleton County, Kentucky",Lowest,14.53991365,137,0.946
"Nowata County, Oklahoma",Lowest,14.7494466,137,0.946
"Luce County, Michigan",Second,14.98291294,136,0.948
"Spencer County, Kentucky",Third,15.40535436,135,0.95
"Amelia County, Virginia",Lowest,14.41920663,130,0.951
"Auglaize County, Ohio",Second,15.31390959,388,0.954
"Wabaunsee County, Kansas",Third,15.59106169,130,0.951
"Floyd County, Texas",Lowest,13.9854703,125,0.955
"Covington city, Virginia",Lowest,14.80443651,125,0.955
"Union County, South Dakota",Fourth,16.00754417,123,0.958
"Morrow County, Oregon",Lowest,14.19302987,244,0.961
"Columbiana County, Ohio",Lowest,14.97320847,734,0.959
"McKenzie County, North Dakota",Fourth,15.77363146,244,0.961
"Linn County, Kansas",Second,15.20966054,115,0.964
"Mono County, California",Third,15.51297513,220,0.965
"Letcher County, Kentucky",Lowest,14.30881198,108,0.966
"Caledonia County, Vermont",Fourth,15.70003701,429,0.968
"McCreary County, Kentucky",Lowest,13.97744851,105,0.97
"Tuscola County, Michigan",Second,15.02394817,634,0.969
"Bracken County, Kentucky",Lowest,14.65795016,103,0.972
"Mathews County, Virginia",Fourth,15.74834046,93,0.973
"Brewster County, Texas",Third,15.67420884,172,0.975
"Noble County, Oklahoma",Third,15.38856268,171,0.977
"New York County, New York",Top Fifth,16.75099041,36104,0.976
"Henry County, Ohio",Second,15.2029168,505,0.979
"Champaign County, Ohio",Second,15.05017854,759,0.98
"Barbour County, West Virginia",Lowest,14.628847,73,0.982
"Wolfe County, Kentucky",Lowest,13.88202471,69,0.983
"Pondera County, Montana",Third,15.41010968,67,0.984
"Brule County, South Dakota",Third,15.50673023,134,0.984
"Fentress County, Tennessee",Lowest,14.22779007,460,0.987
"Breckinridge County, Kentucky",Lowest,14.37571212,65,0.988
"Brown County, Indiana",Third,15.65179138,122,0.99
"Lake County, South Dakota",Top Fifth,16.04093496,101,0.991
"Broadwater County, Montana",Fourth,15.68949772,46,0.993
"Hettinger County, North Dakota",Second,15.04920554,41,0.994
"Custer County, Colorado",Top Fifth,16.04925373,40,0.995
"Hamlin County, South Dakota",Third,15.35974946,65,0.997
"San Juan County, Colorado",Fourth,15.89059081,18,0.998
"Greeley County, Kansas",Third,15.36353211,6,1