Hate	All	Education
1	251	Lowest
3	30723	Lowest
1	13301	Lowest
1	1109	Lowest
2	8611	Lowest
2	402	Lowest
10	8833	Lowest
1	69	Lowest
1	1862	Lowest
3	1036	Lowest
1	105	Lowest
1	125	Lowest
5	6008	Lowest
1	1401	Lowest
1	4171	Lowest
1	182	Lowest
9	32748	Lowest
2	1234	Lowest
2	510	Lowest
3	12410	Lowest
24	37082	Lowest
1	1445	Lowest
2	244	Lowest
1	2453	Lowest
1	148	Lowest
7	460	Lowest
2	1707	Lowest
1	1495	Lowest
4	6939	Lowest
1	174	Lowest
1	584	Lowest
1	460	Lowest
1	379	Lowest
1	1649	Lowest
1	108	Lowest
15	21385	Lowest
3	7375	Lowest
1	174	Lowest
1	2071	Lowest
5	2350	Lowest
1	65	Lowest
2	578	Lowest
1	1264	Lowest
2	20101	Lowest
1	2680	Lowest
1	996	Lowest
1	362	Lowest
1	130	Lowest
1	613	Lowest
2	932	Lowest
2	711	Lowest
2	447	Lowest
8	30438	Lowest
1	9079	Lowest
2	952	Lowest
2	290	Lowest
1	1236	Lowest
1	137	Lowest
1	2600	Lowest
1	448	Lowest
1	177	Lowest
2	2242	Lowest
1	2423	Lowest
4	701	Lowest
1	642	Lowest
1	73	Lowest
1	1245	Lowest
1	4736	Lowest
1	103	Lowest
4	1039	Lowest
2	563	Lowest
1	1376	Lowest
4	2278	Lowest
44	63059	Lowest
2	1559	Lowest
2	3797	Lowest
1	1067	Lowest
2	2966	Lowest
1	844	Lowest
3	417	Lowest
1	268	Lowest
2	1209	Lowest
1	541	Lowest
1	137	Lowest
1	683	Lowest
1	695	Lowest
6	1379	Lowest
2	459	Lowest
28	67694	Lowest
1	125	Lowest
2	589	Lowest
1	310	Lowest
421	260218	Lowest
1	467	Lowest
1	1441	Lowest
4	2054	Lowest
1	1154	Lowest
3	931	Lowest
4	10924	Lowest
2	633	Lowest
1	1183	Lowest
1	2871	Lowest
2	2620	Lowest
6	5053	Lowest
1	1596	Lowest
1	2006	Lowest
1	3199	Lowest
2	655	Lowest
7	5896	Lowest
1	1859	Lowest
1	1240	Lowest
4	854	Lowest
2	3245	Lowest
15	93245	Lowest
1	306	Lowest
1	596	Lowest
3	2431	Lowest
1	335	Lowest
3	11239	Lowest
1	1112	Lowest
1	3126	Lowest
1	381	Lowest
1	1673	Lowest
1	207	Lowest
1	691	Lowest
1	866	Lowest
2	430	Lowest
1	519	Lowest
4	3077	Lowest
38	122865	Lowest
2	1568	Lowest
1	273	Lowest
1	715	Lowest
1	635	Lowest
1	3167	Lowest
3	1194	Lowest
2	4603	Lowest
2	602	Lowest
1	195	Lowest
1	15453	Lowest
6	734	Lowest
1	222	Lowest
2	2003	Lowest
1	376	Lowest
1	136	Second
7	1186	Second
11	200021	Second
1	457	Second
3	3891	Second
5	2792	Second
0	2	Second
1	806	Second
3	1116	Second
3	456	Second
1	9492	Second
1	371	Second
1	141	Second
1	799	Second
6	634	Second
2	2139	Second
1	1501	Second
3	700	Second
2	657	Second
3	1160	Second
2	621	Second
4	566	Second
1	358	Second
1	41	Second
10	759	Second
3	466	Second
1	571	Second
1	707	Second
2	1421	Second
3	6609	Second
8	4318	Second
6	5729	Second
7	14496	Second
4	5160	Second
3	1777	Second
1	1007	Second
3	5349	Second
1	7045	Second
1	1963	Second
2	628	Second
1	577	Second
2	839	Second
2	337	Second
2	4816	Second
1	845	Second
4	1191	Second
1	349	Second
1	4841	Second
1	964	Second
2	8319	Second
3	10382	Second
6	1873	Second
1	10793	Second
12	11429	Second
2	8699	Second
2	1344	Second
25	68761	Second
1	645	Second
1	240	Second
1	10324	Second
5	811	Second
2	736	Second
5	17406	Second
1	9261	Second
16	72994	Second
6	2135	Second
1	908	Second
2	3375	Second
2	986	Second
3	536	Second
3	3000	Second
5	1471	Second
4	2783	Second
1	596	Second
5	5451	Second
1	625	Second
2	681	Second
3	583	Second
2	4962	Second
2	1074	Second
1	2270	Second
1	411	Second
2	941	Second
3	448	Second
2	6488	Second
12	97028	Second
1	296	Second
6	505	Second
3	6162	Second
4	1172	Second
1	2640	Second
1	115	Second
1	166	Second
4	847	Second
6	1202	Second
4	2206	Second
1	17274	Second
1	604	Second
1	907	Second
1	215	Second
5	7096	Second
2	5317	Second
1	2707	Second
7	9184	Second
2	2321	Second
1	302	Second
2	1994	Second
1	841	Second
2	1101	Second
1	2062	Second
14	3982	Second
1	2201	Second
6	0	Second
2	577	Second
1	1021	Second
1	1146	Second
1	1594	Second
115	75031	Second
1	7337	Second
7	1051	Second
6	2897	Second
1	683	Second
1	757	Second
3	1275	Second
1	156	Second
1	1911	Second
1	693	Second
3	5460	Second
1	694	Second
1	389	Second
3	7955	Second
7	11213	Second
16	16012	Second
3	388	Second
7	6907	Second
2	5428	Second
1	560	Second
8	2058	Second
10	5138	Second
3	7563	Second
2	2961	Second
2	1602	Second
3	2263	Second
6	2986	Second
1	881	Second
2	2474	Third
1	1126	Third
2	356	Third
2	65	Third
1	11618	Third
1	6	Third
5	2855	Third
2	8916	Third
2	1820	Third
17	18702	Third
8	2422	Third
1	2164	Third
2	1112	Third
3	877	Third
2	171	Third
1	4401	Third
8	15855	Third
1	233	Third
2	5867	Third
4	2915	Third
9	4563	Third
1	456	Third
1	12334	Third
1	2955	Third
5	1689	Third
4	12892	Third
1	135	Third
1	660	Third
1	14182	Third
1	67	Third
4	11288	Third
2	797	Third
2	1341	Third
3	674	Third
5	8248	Third
1	415	Third
2	2919	Third
2	6363	Third
1	16896	Third
1	3208	Third
9	15569	Third
13	13065	Third
3	2171	Third
18	23492	Third
3	4058	Third
31	71745	Third
23	8385	Third
1	1673	Third
26	47698	Third
1	5633	Third
1	703	Third
17	18161	Third
2	290	Third
1	9277	Third
22	13938	Third
3	30724	Third
2	1092	Third
2	3416	Third
1	573	Third
1	153	Third
2	1801	Third
2	2385	Third
1	900	Third
5	1487	Third
2	631	Third
1	710	Third
8	17894	Third
1	1613	Third
2	4330	Third
5	38341	Third
16	7177	Third
4	1922	Third
8.3	9009	Third
1	374	Third
33	54434	Third
1	698	Third
1	225	Third
2	4153	Third
2	1443	Third
2	134	Third
2	220	Third
4	693	Third
1	465	Third
4	3112	Third
4	2274	Third
3	1283	Third
6	1772	Third
2	802	Third
5	4617	Third
1	4501	Third
1	3820	Third
3	4494	Third
2	1308	Third
3	15479	Third
0	4588	Third
6	3205	Third
1	11381	Third
14	3861	Third
2	48786	Third
6	2071	Third
3	34478	Third
4	3567	Third
1	12055	Third
5	6480	Third
6	7309	Third
2	970	Third
4	2103	Third
1	9770	Third
1	130	Third
3	4369	Third
6	1515	Third
2	4649	Third
14	6980	Third
1	5728	Third
1	3770	Third
4	6230	Third
40	11863	Third
1	305	Third
1	1696	Third
1	559	Third
6	10471	Third
241	140538	Third
10	9911	Third
7	9063	Third
1	11475	Third
10	9184	Third
4	1260	Third
3	1737	Third
1	1533	Third
4	3092	Third
1	3585	Third
1	822	Third
3	3728	Third
35	57816	Third
37	61011	Third
2	122	Third
14	64848	Third
1	572	Third
13	17277	Third
1	4259	Third
1	716	Third
1	4091	Third
2	172	Third
2	443	Third
4	4413	Third
3	2695	Fourth
1	2153	Fourth
7	31923	Fourth
8	2267	Fourth
12	13337	Fourth
7	17231	Fourth
2	931	Fourth
1	46	Fourth
9	57567	Fourth
1	4845	Fourth
14	10404	Fourth
1	1788	Fourth
1	4332	Fourth
1	1843	Fourth
5	2987	Fourth
2	14468	Fourth
1	9493	Fourth
71	163071	Fourth
1	2200	Fourth
37	35442	Fourth
4	429	Fourth
9	23268	Fourth
1	7929	Fourth
3	28040	Fourth
1	729	Fourth
1	2427	Fourth
2	6247	Fourth
1	2344	Fourth
2	47324	Fourth
3	1272	Fourth
20	4139	Fourth
18	20648	Fourth
7	4010	Fourth
2	1010	Fourth
53	42940	Fourth
3	19328	Fourth
1	406	Fourth
2	7878	Fourth
1	297	Fourth
1	205	Fourth
1	10389	Fourth
2	4849	Fourth
1	1223	Fourth
1	314	Fourth
1	93	Fourth
5	8100	Fourth
1	1725	Fourth
15	6668	Fourth
2	1041	Fourth
149	27101	Fourth
3	3624	Fourth
2	3201	Fourth
0	676	Fourth
2	244	Fourth
1	1908	Fourth
9	25649	Fourth
6	18434	Fourth
7	39202	Fourth
2	859	Fourth
97	69635	Fourth
1	5136	Fourth
3	3835	Fourth
1	500	Fourth
9	49312	Fourth
21	39068	Fourth
9	5220	Fourth
9	6125	Fourth
8	17049	Fourth
1	4433	Fourth
1	6408	Fourth
5	2525	Fourth
2	1946	Fourth
7	14935	Fourth
12	17253	Fourth
8	2222	Fourth
5	4330	Fourth
1	5127	Fourth
1	1569	Fourth
12	17687	Fourth
34	39078	Fourth
16	9260	Fourth
3	5272	Fourth
1	1340	Fourth
22	24314	Fourth
7	36383	Fourth
6	10389	Fourth
5	6266	Fourth
10	4045	Fourth
1	6989	Fourth
1	16630	Fourth
3	8361	Fourth
12	9998	Fourth
1	18	Fourth
2	26679	Fourth
2	3889	Fourth
13	33747	Fourth
5	3813	Fourth
50	15935	Fourth
7	20564	Fourth
13	18780	Fourth
1	263	Fourth
2	462	Fourth
1	1919	Fourth
4	2954	Fourth
2	2839	Fourth
6	52907	Fourth
5	23063	Fourth
4	2132	Fourth
4	1800	Fourth
49	11322	Fourth
1	1868	Fourth
38	27604	Fourth
4	1537	Fourth
8	6264	Fourth
4	7444	Fourth
3	1075	Fourth
30	22951	Fourth
5	3611	Fourth
1	587	Fourth
3	3704	Fourth
3	1617	Fourth
3	1271	Fourth
4	20851	Fourth
1	19720	Fourth
3	2944	Fourth
18	13385	Fourth
4	2764	Fourth
1	2015	Fourth
2	4879	Fourth
25	7219	Fourth
4	3510	Fourth
7	28495	Fourth
1	6144	Fourth
1	123	Fourth
1	9054	Fourth
1	1429	Fourth
3	1977	Fourth
1	660	Fourth
2	6860	Fourth
1	709	Fourth
60	34434	Fourth
5	14919	Fourth
19	19855	Fourth
3	9452	Fourth
3	2878	Fourth
21	29502	Top Fifth
2	101	Top Fifth
1	211	Top Fifth
1	40	Top Fifth
3	8784	Top Fifth
24	35882	Top Fifth
5	7103	Top Fifth
1	1369	Top Fifth
61	67976	Top Fifth
4	9289	Top Fifth
6	8044	Top Fifth
184	49599	Top Fifth
4	4281	Top Fifth
2	19905	Top Fifth
1	3164	Top Fifth
1	965	Top Fifth
25	26652	Top Fifth
2	1150	Top Fifth
1	445	Top Fifth
7	1770	Top Fifth
4	14364	Top Fifth
2	6591	Top Fifth
6	3321	Top Fifth
1	3547	Top Fifth
2	723	Top Fifth
1	160	Top Fifth
7	1190	Top Fifth
1	1390	Top Fifth
1	1155	Top Fifth
5	21510	Top Fifth
2	870	Top Fifth
2	7909	Top Fifth
33	45530	Top Fifth
2	3356	Top Fifth
1	39794	Top Fifth
8	10543	Top Fifth
1	429	Top Fifth
2	7956	Top Fifth
1	1963	Top Fifth
1	12162	Top Fifth
2	2559	Top Fifth
1	12516	Top Fifth
2	1707	Top Fifth
2	2136	Top Fifth
6	2394	Top Fifth
2	11502	Top Fifth
6	9127	Top Fifth
10	10657	Top Fifth
4	1124	Top Fifth
54	17604	Top Fifth
3	2361	Top Fifth
4	1176	Top Fifth
6	6099	Top Fifth
2	12665	Top Fifth
9	9248	Top Fifth
2	1408	Top Fifth
6	14359	Top Fifth
21	15747	Top Fifth
1	360	Top Fifth
13	12070	Top Fifth
30	17317	Top Fifth
1	2181	Top Fifth
21	10458	Top Fifth
41	17221	Top Fifth
19	43289	Top Fifth
16	29394	Top Fifth
5	8494	Top Fifth
45	14270	Top Fifth
33	47760	Top Fifth
7	7994	Top Fifth
15	3912	Top Fifth
4	2364	Top Fifth
6	1816	Top Fifth
11	7239	Top Fifth
2	2675	Top Fifth
18	10603	Top Fifth
16	11530	Top Fifth
6	5854	Top Fifth
47	52758	Top Fifth
9	8266	Top Fifth
1	870	Top Fifth
1	767	Top Fifth
4	1845	Top Fifth
3	14497	Top Fifth
2	2269	Top Fifth
13	22231	Top Fifth
5	4881	Top Fifth
1	245	Top Fifth
2	9219	Top Fifth
7	9487	Top Fifth
12	8722	Top Fifth
2	2996	Top Fifth
1	843	Top Fifth
3	1970	Top Fifth
6	26139	Top Fifth
2	1997	Top Fifth
2	12508	Top Fifth
3	3724	Top Fifth
1	16590	Top Fifth
11	5243	Top Fifth
2	4419	Top Fifth
6	1061	Top Fifth
1	468	Top Fifth
75	42770	Top Fifth
19	6562	Top Fifth
4	9091	Top Fifth
4	5353	Top Fifth
34	18944	Top Fifth
1	1218	Top Fifth
1	1027	Top Fifth
10	55141	Top Fifth
238	100616	Top Fifth
37	22151	Top Fifth
11	4176	Top Fifth
10	16724	Top Fifth
2	4970	Top Fifth
1	1494	Top Fifth
421	36104	Top Fifth
9	5743	Top Fifth
12	3404	Top Fifth
5	2826	Top Fifth
6	6201	Top Fifth
17	7555	Top Fifth
4	777	Top Fifth
25	9606	Top Fifth
124	24956	Top Fifth
2	4010	Top Fifth
2	926	Top Fifth
18	12282	Top Fifth
125	42346	Top Fifth
0	164	Top Fifth
2	2561	Top Fifth
11	3701	Top Fifth
5	9478	Top Fifth
1	16412	Top Fifth
3	5019	Top Fifth
1	2475	Top Fifth
4	3186	Top Fifth
1	396	Top Fifth
4	3267	Top Fifth
3	893	Top Fifth
4	7632	Top Fifth
2	2620	Top Fifth
1	350	Top Fifth
2	3619	Top Fifth
11	6583	Top Fifth
1	239	Top Fifth